"Categoria origem (Voluntaria+)","Causa OVP sugerida (nome)","ID OVP (confirmar Atados)","Observacao"
"Educacao","Educacao","","-"
"Saude","Saude","","-"
"Assistencia Social","Assistencia Social","","-"
"Meio Ambiente","Meio Ambiente","","-"
"Protecao Animal / Animais","Animais","","-"
"Cultura e Arte","Arte e Cultura","","-"
"Esporte","Esporte","","-"
"Direitos Humanos","Defesa de Direitos","","-"
"Criancas e Adolescentes","Criancas e Adolescentes","","-"
"Idosos","Idosos","","-"
"Pessoas com Deficiencia","Pessoas com Deficiencia","","-"
"Populacao em situacao de rua","Populacao em Situacao de Rua","","-"
"Combate a fome / Seguranca alimentar","Combate a Fome","","-"
"Mulheres","Mulheres","","-"
"LGBTQIA+","Populacao LGBTQIA+","","-"
"Causa racial / Populacao negra","Defesa de Direitos","","confirmar se ha causa especifica de igualdade racial"
"Refugiados / Migrantes","Migrantes e Refugiados","","-"
"Saude mental","Saude","","confirmar se ha causa especifica de saude mental"
"Geracao de renda / Trabalho","Trabalho","","-"
"Habitacao","Defesa de Direitos","","confirmar causa de moradia/habitacao"
"Tecnologia / Inclusao digital","Tecnologia","","-"
"Religiao / Fe","Assistencia Social","","sem causa direta; confirmar destino"
"(OUTROS - ver SQL)","(mapear caso a caso)","","Extrair valores reais com o SQL abaixo"
"","","",""
"# A sugestao de nome e best-effort com base nas causes padrao da OVP.","","",""
"# A Atados so precisa confirmar o ID (e ajustar o nome se divergir).","","",""
"# Extrair os valores reais que existem na base:","","",""
"#   select distinct unnest(tipo) from ongs order by 1;","","",""
"#   select distinct unnest(additional_categories) from ongs order by 1;","","",""
