"#","Campo origem (Voluntaria+)","Tabela origem","Tipo origem","Campo destino (OVP Organization)","Tipo destino","Obrigatorio no OVP","Regra / decisao adotada","Status"
"1","id","ongs","uuid","(referencia externa)","-","Nao","Nao migrar como PK. Guardar mapa id_voluntaria <-> id_ovp para reconciliacao.","Decidido"
"2","user_id","ongs","uuid (FK users)","owner","FK User","Sim","Criar 1 usuario OVP por ONG a partir do e-mail do dono; senha via 'definir senha' no 1o acesso (hash nao migra).","Decidido"
"3","nome","ongs","text","name","CharField(150)","Sim","Copiar (truncar a 150).","Decidido"
"4","descricao","ongs","text","details","TextField(3000)","Nao","Base do details (truncar a 3000).","Decidido"
"5","short_description","ongs","text/null","description","CharField(160)","Nao","Copiar; se vazio, derivar dos 160 primeiros chars de descricao.","Decidido"
"6","how_to_help","ongs","text/null","details (anexar)","TextField","Nao","Concatenar em details com rotulo 'Como ajudar:'.","Decidido"
"7","doacoes","ongs","text/null","details (anexar)","TextField","Nao","Concatenar em details com rotulo 'Doacoes:'.","Decidido"
"8","necessidades","ongs","text[]","details (anexar)","TextField","Nao","Juntar com '; ' e anexar em details com rotulo 'Necessidades:'.","Decidido"
"9","horarios_funcionamento","ongs","text/null","details (anexar)","TextField","Nao","Anexar em details com rotulo 'Horarios:'.","Decidido"
"10","whatsapp","ongs","text/null","contact_phone","CharField(150)","Nao","Normalizar para +55; se vazio, usar telefone do dono.","Decidido"
"11","endereco_fisico","ongs","text/null","address.typed_address","OneToOne Address","Nao","Enviar como texto + lat/lng; geocodificar o que faltar com a chave Google existente.","Decidido"
"12","lat","ongs","numeric/null","address.lat","numeric","Nao","Copiar.","Decidido"
"13","lng","ongs","numeric/null","address.lng","numeric","Nao","Copiar.","Decidido"
"14","tipo","ongs","text[]","causes","M2M Cause","Nao","Mapear via de-para-causas.csv (sugestao pronta; Atados confirma IDs).","Decidido"
"15","additional_categories","ongs","text[]","causes","M2M Cause","Nao","Unir com tipo e deduplicar; mesmo de-para de causas.","Decidido"
"16","thumbnail_url","ongs","text/null","image","FK UploadedImage","Nao","Re-upload a partir da URL publica do bucket 'ongs' (Passo 4).","Decidido"
"17","admin_approved","ongs","boolean","published","BooleanField","Sim","Migrar SOMENTE aprovadas (admin_approved=true) -> published=true.","Decidido"
"18","localizacao_tipo","ongs","enum/null","hidden_address (se 'online')","-","Nao","'online' -> hidden_address=true; demais informativos. Verificar se a coluna existe na base antes de exportar.","Decidido (verificar coluna)"
"19","endereco_online","ongs","text[]/null","website","URLField","Nao","Usar 1a URL em website; demais em details. Verificar se a coluna existe na base.","Decidido (verificar coluna)"
"20","created_at","ongs","timestamptz","created_date","DateTimeField","Nao","Informativo; OVP define no insert.","Informativo"
"21","updated_at","ongs","timestamptz","modified_date","DateTimeField","Nao","Informativo.","Informativo"
"22","nome (dono)","users (tipo=ong)","text","contact_name","CharField(150)","Nao","Nome do responsavel.","Decidido"
"23","email (dono)","users (tipo=ong)","text","contact_email + owner.email","EmailField(150)","Nao","Contato e chave para criar o owner.","Decidido"
"24","telefone (dono)","users (tipo=ong)","text/null","contact_phone (fallback)","CharField(150)","Nao","Usar se whatsapp da ONG estiver vazio.","Decidido"
"25","foto (dono)","users (tipo=ong)","text/null","(descartar)","-","Nao","Nao migrar (baixo valor).","Decidido"
"26","bio (dono)","users (tipo=ong)","text/null","(descartar)","-","Nao","Nao migrar.","Decidido"
"27","(sem origem)","-","-","document (CNPJ)","CharField(40)","Nao","Migrar vazio; coletar depois no perfil da ONG. Nao bloqueia.","Decidido"
"28","(sem origem)","-","-","cover","FK UploadedImage","Nao","Sem capa na origem; deixar vazio.","Decidido"
"29","(sem origem)","-","-","type","PositiveSmallInt","Sim","Usar 0 (organizacao padrao).","Decidido"
"30","(sem origem)","-","-","highlighted","BooleanField","Sim","Enviar false na carga inicial.","Decidido"
"31","(derivado)","-","-","slug","SlugField","Nao","Gerar de name (OVP costuma gerar sozinho).","Decidido"
"32","(sem origem)","-","-","facebook_page","CharField(255)","Nao","Vazio (preencher depois se houver).","Decidido"
